공장명,공정코드,공정명,공정그룹코드,공정그룹명
KANC1,S3A003,절연막 원자층 증착(8인치 이하 기판),S3A,THIN FILM
KANC1,S3A004,절연막 원자층 증착(12인치 기판),S3A,THIN FILM
KANC1,S3A005,SiNx/SiON CVD,S3A,THIN FILM
KANC1,S3A006,TEOS/TEOS-FSG CVD,S3A,THIN FILM
KANC1,S3A007,ACL CVD,S3A,THIN FILM
KANC1,S3A008,W CVD,S3A,THIN FILM
KANC1,S3A009,Ti Sputter(Endura),S3A,THIN FILM
KANC1,S3A010,TiN Sputter(Endura),S3A,THIN FILM
KANC1,S3A011,Cu Sputter(Endura),S3A,THIN FILM
KANC1,S3A012,Ta Sputter(Endura),S3A,THIN FILM
KANC1,S3A013,TaN Sputter(Endura),S3A,THIN FILM
KANC1,S3A014,Ti Sputter(Evatec),S3A,THIN FILM
KANC1,S3A015,TiN Sputter(Evatec),S3A,THIN FILM
KANC1,S3A016,Al:Cu(0.5%) Sputter(Evatec),S3A,THIN FILM
KANC1,S3A017,Cu Sputter(Evatec),S3A,THIN FILM
KANC1,S4A001,금속막 식각,S4A,ETCH
KANC1,S4A002,PR Ashing,S4A,ETCH
KANC1,S4A003,절연막 식각,S4A,ETCH
KANC1,S4A004,실리콘 식각,S4A,ETCH
KANC1,S4A005,PR Ashing,S4A,ETCH
KANC1,S4A006,SiC Via Etch,S4A,ETCH
KANC1,S4A007,GaN Etch,S4A,ETCH
KANC1,S5A001,Damascene,S5A,WET
KANC1,S5A002,TSV,S5A,WET
KANC1,S5A003,Wet cleaning,S5A,WET
KANC1,S5A004,Wet etch,S5A,WET
KANC1,S5A005,Cleaning,S5A,WET
KANC1,S5A006,Cleaning Etching PR Strip,S5A,WET
KANC1,S6A001,Grinding/Polishing,S6A,POLISHING
KANC1,S6A002,W CMP,S6A,POLISHING
KANC1,S6A003,Oxide CMP,S6A,POLISHING
KANC1,S6A004,Cu Bulk CMP/Barrier Metal CMP,S6A,POLISHING
KANC1,S7A001,Adhesive Bonding,S7A,BONDING
KANC1,S7A002,Debonding,S7A,BONDING
KANC1,S7A003,Alignment,S7A,BONDING
KANC1,S7A004,Thermo-Comp. Bonding,S7A,BONDING
KANC1,S7A005,High vaccum Eutectic Bonding,S7A,BONDING
KANC1,S8A001,Rapid Thermal Annealing,S8A,THERMAL
KANC1,S8A002,Annealing,S8A,THERMAL
KANC1,Z1000,외주 Implant,C3A,MATERIAL PROPERTY
KANC1,Z2000,외주 RTP Activation,C3A,MATERIAL PROPERTY
KANC1,Z3000,Mask Drawing,Z1A,ETC
KANC1,Z4000,외주 Metal Plating,Z1A,ETC
KANC1,Z4100,외주 Kappa & Gold Plating,Z1A,ETC
KANC1,Z4110,외주 Spin Rinse & Dry,Z1A,ETC
KANC1,Z5000,외주 Grinding & Polishing,Z1A,ETC
KANC1,ZSHP1,마지막 FAB Out 공정,C3A,MATERIAL PROPERTY
